enrollment_no,date,subject_id,status
EP2025001,2025-01-06,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025001,2025-01-07,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025001,2025-01-08,a1b2c3d4-0001-0001-0001-000000000003,absent
EP2025001,2025-01-09,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025001,2025-01-10,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025001,2025-01-13,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025001,2025-01-14,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025001,2025-01-15,a1b2c3d4-0001-0001-0001-000000000003,late
EP2025001,2025-02-03,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025001,2025-02-04,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025001,2025-02-05,a1b2c3d4-0001-0001-0001-000000000003,absent
EP2025001,2025-02-06,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025001,2025-02-07,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025001,2025-03-03,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025001,2025-03-04,a1b2c3d4-0001-0001-0001-000000000002,late
EP2025001,2025-03-05,a1b2c3d4-0001-0001-0001-000000000003,absent
EP2025001,2025-04-07,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025001,2025-04-08,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025002,2025-01-06,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025002,2025-01-07,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025002,2025-01-08,a1b2c3d4-0001-0001-0001-000000000003,absent
EP2025002,2025-01-09,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025002,2025-01-10,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025002,2025-01-13,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025002,2025-01-14,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025002,2025-01-15,a1b2c3d4-0001-0001-0001-000000000003,absent
EP2025002,2025-02-03,a1b2c3d4-0001-0001-0001-000000000001,late
EP2025002,2025-02-04,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025002,2025-02-05,a1b2c3d4-0001-0001-0001-000000000003,absent
EP2025002,2025-03-10,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025002,2025-03-11,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025002,2025-03-12,a1b2c3d4-0001-0001-0001-000000000003,present
EP2025002,2025-04-07,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025002,2025-04-08,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025003,2025-01-06,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025003,2025-01-07,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025003,2025-01-08,a1b2c3d4-0001-0001-0001-000000000003,late
EP2025003,2025-01-09,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025003,2025-01-10,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025003,2025-01-13,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025003,2025-01-14,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025003,2025-02-03,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025003,2025-02-04,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025003,2025-02-05,a1b2c3d4-0001-0001-0001-000000000003,present
EP2025003,2025-03-03,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025003,2025-03-04,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025003,2025-04-07,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025003,2025-04-08,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025004,2025-01-06,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025004,2025-01-07,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025004,2025-01-08,a1b2c3d4-0001-0001-0001-000000000003,present
EP2025004,2025-01-09,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025004,2025-01-10,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025004,2025-01-13,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025004,2025-01-14,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025004,2025-02-03,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025004,2025-02-04,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025004,2025-02-05,a1b2c3d4-0001-0001-0001-000000000003,present
EP2025004,2025-03-03,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025004,2025-03-04,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025004,2025-04-07,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025004,2025-04-08,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025005,2025-01-06,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025005,2025-01-07,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025005,2025-01-08,a1b2c3d4-0001-0001-0001-000000000003,present
EP2025005,2025-01-09,a1b2c3d4-0001-0001-0001-000000000001,late
EP2025005,2025-01-10,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025005,2025-02-03,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025005,2025-02-04,a1b2c3d4-0001-0001-0001-000000000002,absent
EP2025005,2025-02-05,a1b2c3d4-0001-0001-0001-000000000003,absent
EP2025005,2025-02-06,a1b2c3d4-0001-0001-0001-000000000001,absent
EP2025005,2025-03-03,a1b2c3d4-0001-0001-0001-000000000001,present
EP2025005,2025-03-04,a1b2c3d4-0001-0001-0001-000000000002,present
EP2025005,2025-04-07,a1b2c3d4-0001-0001-0001-000000000001,late
EP2025005,2025-04-08,a1b2c3d4-0001-0001-0001-000000000002,present
