enrollment_no,subject_id,assessment_type,score,max_score,attempt_number,assessment_date
EP2025001,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,28.0,50.0,1,2025-01-20
EP2025001,a1b2c3d4-0001-0001-0001-000000000001,Midterm,34.0,100.0,1,2025-02-15
EP2025001,a1b2c3d4-0001-0001-0001-000000000001,Midterm,38.0,100.0,2,2025-02-22
EP2025001,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,22.0,50.0,1,2025-01-21
EP2025001,a1b2c3d4-0001-0001-0001-000000000002,Midterm,31.0,100.0,1,2025-02-16
EP2025001,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,18.0,40.0,1,2025-03-05
EP2025001,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,29.0,100.0,1,2025-04-10
EP2025002,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,24.0,50.0,1,2025-01-20
EP2025002,a1b2c3d4-0001-0001-0001-000000000001,Midterm,36.0,100.0,1,2025-02-15
EP2025002,a1b2c3d4-0001-0001-0001-000000000001,Midterm,40.0,100.0,2,2025-02-22
EP2025002,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,20.0,50.0,1,2025-01-21
EP2025002,a1b2c3d4-0001-0001-0001-000000000002,Midterm,33.0,100.0,1,2025-02-16
EP2025002,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,15.0,40.0,1,2025-03-05
EP2025002,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,32.0,100.0,1,2025-04-10
EP2025003,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,38.0,50.0,1,2025-01-20
EP2025003,a1b2c3d4-0001-0001-0001-000000000001,Midterm,62.0,100.0,1,2025-02-15
EP2025003,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,35.0,50.0,1,2025-01-21
EP2025003,a1b2c3d4-0001-0001-0001-000000000002,Midterm,58.0,100.0,1,2025-02-16
EP2025003,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,28.0,40.0,1,2025-03-05
EP2025003,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,55.0,100.0,1,2025-04-10
EP2025004,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,46.0,50.0,1,2025-01-20
EP2025004,a1b2c3d4-0001-0001-0001-000000000001,Midterm,88.0,100.0,1,2025-02-15
EP2025004,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,44.0,50.0,1,2025-01-21
EP2025004,a1b2c3d4-0001-0001-0001-000000000002,Midterm,85.0,100.0,1,2025-02-16
EP2025004,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,38.0,40.0,1,2025-03-05
EP2025004,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,91.0,100.0,1,2025-04-10
EP2025005,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,40.0,50.0,1,2025-01-20
EP2025005,a1b2c3d4-0001-0001-0001-000000000001,Midterm,70.0,100.0,1,2025-02-15
EP2025005,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,37.0,50.0,1,2025-01-21
EP2025005,a1b2c3d4-0001-0001-0001-000000000002,Midterm,52.0,100.0,1,2025-02-16
EP2025005,a1b2c3d4-0001-0001-0001-000000000002,Midterm,58.0,100.0,2,2025-02-24
EP2025005,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,30.0,40.0,1,2025-03-05
EP2025005,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,64.0,100.0,1,2025-04-10
EP2025006,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,48.0,50.0,1,2025-01-20
EP2025006,a1b2c3d4-0001-0001-0001-000000000001,Midterm,92.0,100.0,1,2025-02-15
EP2025006,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,47.0,50.0,1,2025-01-21
EP2025006,a1b2c3d4-0001-0001-0001-000000000002,Midterm,89.0,100.0,1,2025-02-16
EP2025006,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,39.0,40.0,1,2025-03-05
EP2025006,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,94.0,100.0,1,2025-04-10
EP2025007,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,21.0,50.0,1,2025-01-20
EP2025007,a1b2c3d4-0001-0001-0001-000000000001,Midterm,30.0,100.0,1,2025-02-15
EP2025007,a1b2c3d4-0001-0001-0001-000000000001,Midterm,35.0,100.0,2,2025-02-22
EP2025007,a1b2c3d4-0001-0001-0001-000000000001,Midterm,37.0,100.0,3,2025-03-01
EP2025007,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,18.0,50.0,1,2025-01-21
EP2025007,a1b2c3d4-0001-0001-0001-000000000002,Midterm,28.0,100.0,1,2025-02-16
EP2025007,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,10.0,40.0,1,2025-03-05
EP2025007,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,27.0,100.0,1,2025-04-10
EP2025008,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,43.0,50.0,1,2025-01-20
EP2025008,a1b2c3d4-0001-0001-0001-000000000001,Midterm,80.0,100.0,1,2025-02-15
EP2025008,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,42.0,50.0,1,2025-01-21
EP2025008,a1b2c3d4-0001-0001-0001-000000000002,Midterm,77.0,100.0,1,2025-02-16
EP2025008,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,35.0,40.0,1,2025-03-05
EP2025008,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,82.0,100.0,1,2025-04-10
EP2025009,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,45.0,50.0,1,2025-01-20
EP2025009,a1b2c3d4-0001-0001-0001-000000000001,Midterm,84.0,100.0,1,2025-02-15
EP2025009,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,44.0,50.0,1,2025-01-21
EP2025009,a1b2c3d4-0001-0001-0001-000000000002,Midterm,82.0,100.0,1,2025-02-16
EP2025009,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,37.0,40.0,1,2025-03-05
EP2025009,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,88.0,100.0,1,2025-04-10
EP2025010,a1b2c3d4-0001-0001-0001-000000000001,Quiz 1,47.0,50.0,1,2025-01-20
EP2025010,a1b2c3d4-0001-0001-0001-000000000001,Midterm,90.0,100.0,1,2025-02-15
EP2025010,a1b2c3d4-0001-0001-0001-000000000002,Quiz 1,46.0,50.0,1,2025-01-21
EP2025010,a1b2c3d4-0001-0001-0001-000000000002,Midterm,87.0,100.0,1,2025-02-16
EP2025010,a1b2c3d4-0001-0001-0001-000000000003,Assignment 1,38.0,40.0,1,2025-03-05
EP2025010,a1b2c3d4-0001-0001-0001-000000000003,Final Exam,92.0,100.0,1,2025-04-10
EP2025011,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,19.0,50.0,1,2025-01-20
EP2025011,a1b2c3d4-0001-0001-0001-000000000004,Midterm,29.0,100.0,1,2025-02-15
EP2025011,a1b2c3d4-0001-0001-0001-000000000004,Midterm,33.0,100.0,2,2025-02-22
EP2025011,a1b2c3d4-0001-0001-0001-000000000004,Midterm,31.0,100.0,3,2025-03-01
EP2025011,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,17.0,50.0,1,2025-01-21
EP2025011,a1b2c3d4-0001-0001-0001-000000000005,Midterm,25.0,100.0,1,2025-02-16
EP2025011,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,12.0,40.0,1,2025-03-05
EP2025011,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,24.0,100.0,1,2025-04-10
EP2025012,a1b2c3d4-0001-0001-0001-000000000004,Quiz 1,41.0,50.0,1,2025-01-20
EP2025012,a1b2c3d4-0001-0001-0001-000000000004,Midterm,75.0,100.0,1,2025-02-15
EP2025012,a1b2c3d4-0001-0001-0001-000000000005,Quiz 1,40.0,50.0,1,2025-01-21
EP2025012,a1b2c3d4-0001-0001-0001-000000000005,Midterm,72.0,100.0,1,2025-02-16
EP2025012,a1b2c3d4-0001-0001-0001-000000000005,Assignment 1,32.0,40.0,1,2025-03-05
EP2025012,a1b2c3d4-0001-0001-0001-000000000005,Final Exam,78.0,100.0,1,2025-04-10
