enrollment_no,semester,amount_due,amount_paid,due_date,paid_date,status
EP2025001,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025001,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025001,3,60000.00,0.00,2026-07-15,,overdue
EP2025002,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025002,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025002,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025003,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025003,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025003,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025004,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025004,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025004,3,60000.00,30000.00,2026-07-30,2026-07-25,partial
EP2025005,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025005,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025005,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025006,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025006,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025006,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025007,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025007,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025007,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025008,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025008,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025008,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025009,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025009,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025009,3,60000.00,0.00,2026-07-15,,overdue
EP2025010,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025010,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025010,3,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025011,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025011,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025011,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025011,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025011,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025012,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025012,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025012,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025012,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025012,5,60000.00,30000.00,2026-07-30,2026-07-25,partial
EP2025013,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025013,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
EP2025013,3,60000.00,60000.00,2025-08-15,2025-08-10,paid
EP2025013,4,60000.00,60000.00,2026-01-15,2026-01-10,paid
EP2025013,5,60000.00,60000.00,2026-08-15,2026-08-02,paid
EP2025014,1,60000.00,60000.00,2024-08-15,2024-08-10,paid
EP2025014,2,60000.00,60000.00,2025-01-15,2025-01-10,paid
